Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
26/04/2020,Zamfara,2,0,0
26/04/2020,Adamawa,1,0,0
26/04/2020,Anambra,1,1,0
26/04/2020,Bayelsa,1,0,0
26/04/2020,Benue,1,0,0
26/04/2020,Ebonyi,1,0,0
26/04/2020,Imo,1,0,0
26/04/2020,Kebbi,1,0,0
26/04/2020,Plateau,1,0,0
27/04/2020,Lagos,764,143,19
27/04/2020,FCT,157,36,3
27/04/2020,Kano,77,0,1
27/04/2020,Borno,41,0,2
27/04/2020,Gombe,37,0,0
27/04/2020,Ogun,35,5,1
27/04/2020,Osun,34,18,2
27/04/2020,Katsina,30,0,2
27/04/2020,Edo,25,8,3
27/04/2020,Oyo,21,9,2
27/04/2020,Kaduna,15,6,0
27/04/2020,Bauchi,14,6,0
27/04/2020,Akwa Ibom,12,9,0
27/04/2020,Kwara,11,2,0
27/04/2020,Sokoto,10,0,0
27/04/2020,Ekiti,8,2,1
27/04/2020,Ondo,8,2,0
27/04/2020,Taraba,8,0,0
27/04/2020,Delta,6,0,1
27/04/2020,Rivers,6,2,2
27/04/2020,Abia,2,0,0
27/04/2020,Enugu,2,2,0
27/04/2020,Jigawa,2,0,0
27/04/2020,Niger,2,0,0
27/04/2020,Zamfara,2,0,0
27/04/2020,Adamawa,1,0,0
27/04/2020,Anambra,1,1,0
27/04/2020,Bayelsa,1,0,0
27/04/2020,Benue,1,0,0
27/04/2020,Ebonyi,1,0,0
27/04/2020,Imo,1,0,0
27/04/2020,Kebbi,1,0,0
27/04/2020,Plateau,1,0,0
28/04/2020,Lagos,844,143,19
28/04/2020,FCT,158,36,3
28/04/2020,Kano,115,0,1
28/04/2020,Borno,53,0,2
28/04/2020,Ogun,50,6,1
28/04/2020,Gombe,46,0,0
28/04/2020,Osun,34,18,2
28/04/2020,Edo,30,8,3
28/04/2020,Katsina,30,0,2
28/04/2020,Bauchi,29,6,0
28/04/2020,Oyo,21,9,2
28/04/2020,Sokoto,19,0,3
28/04/2020,Kaduna,15,6,0
28/04/2020,Akwa Ibom,12,9,1
28/04/2020,Kwara,11,2,0
28/04/2020,Ekiti,8,2,1
28/04/2020,Ondo,8,3,0
28/04/2020,Taraba,8,0,0
28/04/2020,Delta,7,2,2
